,Sentiment,Score
319,Positive,0.522
320,Positive,0.62
321,Positive,0.462
322,Positive,0.179
323,Negative,0.422
324,Negative,0.346
325,Negative,0.35
326,Negative,0.424
327,Negative,0.256
328,Negative,0.268
329,Negative,0.0
330,Positive,0.273
331,Positive,0.192
332,Negative,0.155
333,Negative,0.218
334,Negative,0.107
335,Negative,0.302
336,Positive,0.298
337,Positive,0.417
338,Positive,0.205
339,Negative,0.05
340,Positive,0.655
341,Positive,0.068
342,Positive,0.062
343,Positive,0.623
344,Positive,0.132
345,Positive,0.255
346,Negative,0.355
347,Negative,0.076
348,Negative,0.308
349,Negative,0.383
350,Negative,0.0
351,Negative,0.256
352,Negative,0.066
353,Negative,0.0
354,Negative,0.189
355,Negative,0.0
356,Positive,0.166
357,Positive,0.2
358,Negative,0.583
359,Positive,0.23
360,Negative,0.267
361,Positive,0.234
362,Positive,0.387
363,Negative,0.0
364,Negative,0.51
365,Negative,0.157
366,Negative,0.281
367,Negative,0.27
368,Negative,0.433
369,Positive,0.4
370,Positive,0.139
371,Negative,0.172
372,Positive,0.183
373,Negative,0.297
374,Negative,0.354
375,Negative,0.128
376,Positive,0.225
377,Negative,0.175
378,Negative,0.0
379,Positive,0.093
380,Positive,0.346
381,Positive,0.169
382,Positive,0.219
383,Negative,0.447
384,Negative,0.0
385,Negative,0.0
386,Negative,0.417
387,Positive,0.112
388,Positive,0.091
389,Negative,0.1
390,Positive,0.224
391,Positive,0.735
392,Negative,0.168
393,Negative,0.315
394,Positive,0.244
395,Positive,0.189
396,Positive,0.18
397,Negative,0.0
398,Positive,0.291
399,Negative,0.429
400,Positive,0.406
401,Positive,0.218
402,Positive,0.257
403,Positive,0.295
404,Negative,0.231
405,Negative,0.221
406,Negative,0.176
407,Negative,0.227
408,Positive,0.41
409,Negative,0.167
410,Negative,0.151
411,Negative,0.276
412,Positive,0.202
413,Positive,0.219
414,Negative,0.132
415,Positive,0.137
416,Negative,0.0
417,Positive,0.275
