,Verbs
6938,held
6939,rushed
6940,manage
6941,make
6942,taken
6943,told
6944,go
6945,refused
6946,moved
6947,got
6948,£12
6949,spend
6950,thought
6951,hold
6952,found
6953,considering
6954,avoidable
6955,given
6956,seemed
6957,got
6958,raised
6959,expressing
6960,waited
6961,chasing
6962,working
6963,got
6964,said
6965,got
6966,heathrow
6967,offered
6968,highlighted
6969,december
6970,whereas
6971,disappointing
6972,failing
6973,resulting
6974,went
6975,boarding
6976,indicated
6977,showing
6978,appeared
6979,approached
6980,said
6981,changed
6982,gates
6983,updated
6984,checked
6985,showed
6986,started
6987,elizabeth
6988,looking
6989,going
6990,started
6991,started
6992,followed
6993,serving
6994,disappeared
6995,offering
6996,requested
6997,used
6998,want
6999,assisted
7000,arrived
7001,convinced
7002,going
7003,stood
7004,realized
7005,miss
7006,went
7007,believe
7008,weighed
7009,gives
7010,got
7011,love
7012,ditching
7013,seen
7014,crew
7015,travelling
7016,detroit
7017,given
7018,decided
7019,spend
7020,dissuaded
7021,experienced
7022,trump
7023,missed
7024,get
7025,told
7026,stand
7027,turn
7028,escorted
7029,asked
7030,told
7031,continue
7032,standing
7033,come
7034,get
7035,say
7036,got
7037,turn
7038,running
7039,rebooked
7040,come
7041,lie
7042,spend
7043,gave
7044,complete
7045,stop
7046,lying
7047,witnessed
7048,understand
7049,’
7050,started
7051,plummeted
7052,jfk
7053,standstill
7054,started
7055,complaining
7056,times
7057,processing
7058,whilst
7059,stood
7060,chat
7061,stopped
7062,processing
7063,trying
7064,catch
7065,processing
7066,jumped
7067,seating
7068,give
7069,used
7070,think
7071,see
7072,wiping
7073,surrounding
7074,behave
7075,swearing
7076,pulling
7077,used
7078,feel
7079,clinging
7080,provide
7081,sub
7082,left
7083,desired
7084,row
7085,temp
7086,used
7087,sit
7088,considering
7089,distancing
7090,carpeted
7091,gave
7092,decided
7093,arrived
7094,found
7095,looking
7096,ordered
7097,made
7098,straight
7099,put
7100,hovering
7101,departing
7102,told
7103,leaves
7104,gone
7105,looking
7106,choosing
7107,gave
7108,take
7109,asked
7110,menu
7111,took
7112,came
7113,asked
7114,swap
7115,said
7116,try
7117,trying
7118,sleeping
7119,asked
7120,finished
7121,expect
7122,seemed
7123,used
7124,warsaw
7125,check
7126,announced
7127,ask
7128,go
7129,found
7130,luggage
7131,appalling
7132,took
7133,get
7134,checked
7135,disorganised
7136,want
7137,looking
7138,warsaw
7139,supposed
7140,correct
7141,euro
7142,europe
7143,left
7144,managed
7145,landed
7146,warsaw
7147,took
7148,getting
7149,crew
7150,getting
7151,find
7152,tired
7153,looking
7154,used
7155,lounge
7156,arrival
7157,packed
7158,distancing
7159,delayed
7160,boarded
7161,captain
7162,advised
7163,load
7164,offered
7165,waited
7166,mentioning
7167,club
7168,goes
7169,centre
7170,blocked
7171,summed
7172,arrived
7173,left
7174,left
7175,gave
7176,left
7177,declined
7178,thought
7179,privacy
7180,felt
7181,occupied
7182,lying
7183,mixed
7184,blessing
7185,sized
7186,stored
7187,serving
7188,dragged
7189,went
7190,landing
7191,checking
7192,leaving
7193,immigration
7194,paid
7195,bumped
7196,told
7197,issued
7198,issued
7199,email
7200,getting
7201,paid
7202,refunded
7203,emailed
7204,told
7205,getting
7206,saying
7207,add
7208,told
7209,getting
7210,replied
7211,turns
7212,taking
7213,getting
7214,emailed
7215,asking
7216,changed
7217,respond
7218,called
7219,explaining
7220,calling
7221,add
7222,review
7223,boarding
7224,disembarking
7225,super
7226,a320
7227,lighting
7228,enhanced
7229,makes
7230,accommodating
7231,coming
7232,asking
7233,needed
7234,think
7235,offered
7236,lounge
7237,travelled
7238,seemed
7239,felt
7240,adjusted
7241,liking
7242,lighting
7243,enhanced
7244,ba
7245,row
7246,enhanced
7247,leaving
7248,catering
7249,tasty
7250,give
7251,feeling
7252,ticked
7253,presented
7254,looked
7255,served
7256,wing
7257,decided
7258,go
7259,disappointing
7260,given
7261,spend
7262,earn
7263,crew
7264,seemed
7265,taken
7266,boarding
7267,queue
7268,called
7269,decided
7270,appreciate
7271,legroom
7272,appalling
7273,says
7274,missed
7275,flying
7276,challenge
7277,worked
7278,boarding
7279,done
7280,refurbished
7281,crew
7282,dressed
7283,offered
7284,lunch
7285,served
7286,meal
7287,given
7288,landing
7289,flying
7290,arrived
7291,amazing
7292,arriving
7293,seemed
7294,pcr
7295,went
7296,got
7297,mulled
7298,crowded
7299,boarding
7300,left
7301,jammed
7302,fly
7303,closed
7304,used
7305,sending
7306,avoid
7307,flying
7308,flew
7309,arabic
7310,used
7311,afforded
7312,served
7313,warm
7314,forgot
7315,offer
7316,used
7317,happens
7318,rewarded
7319,shocking
7320,take
7321,reaching
7322,called
7323,preboarding
7324,said
7325,given
7326,kept
7327,telling
7328,go
7329,learned
7330,cancelled
7331,took
7332,reach
7333,reaching
7334,told
7335,booked
7336,offered
7337,requested
7338,told
7339,booking
7340,desk
7341,directed
7342,meant
7343,go
7344,waited
7345,stored
7346,following
7347,rude
7348,taking
7349,cancelling
7350,offered
7351,flown
7352,checkin
7353,seating
7354,facing
7355,facing
7356,put
7357,see
7358,awful
7359,put
7360,tuck
7361,take
7362,put
7363,go
7364,missing
7365,centre
7366,leg
7367,travelling
7368,take
7369,climbing
7370,stranger
7371,manage
7372,get
7373,disturbing
7374,reading
7375,controlled
7376,make
7377,avoid
7378,claimed
7379,beginning
7380,took
7381,surprise
7382,providing
7383,sent
7384,didnt
7385,get
7386,waiting
7387,wearing
7388,asked
7389,allowing
7390,wear
7391,said
7392,ordered
7393,replied
7394,needed
7395,taking
7396,cancelling
7397,giving
7398,needed
7399,offered
7400,cancelled
7401,going
7402,travel
7403,booked
7404,beginning
7405,changed
7406,moved
7407,making
7408,called
7409,told
7410,need
7411,going
7412,booking
7413,flying
7414,get
7415,singapore
7416,perfect
7417,paid
7418,cancelled
7419,airmiles
7420,flying
7421,meant
7422,paid
7423,keeping
7424,redeemed
7425,differ
7426,works
7427,taken
7428,lost
7429,losing
7430,cut
7431,booked
7432,explained
7433,working
7434,took
7435,including
7436,cvc
7437,explained
7438,follow
7439,ticket
7440,charge
7441,booking
7442,called
7443,reached
7444,apologised
7445,advised
7446,escalate
7447,took
7448,waited
7449,booked
7450,began
7451,failed
7452,booking
7453,spanning
7454,sat
7455,promised
7456,get
7457,fly
7458,got
7459,booking
7460,failed
7461,add
7462,noticed
7463,managed
7464,resulted
7465,listening
7466,hold
7467,inflight
7468,catering
7469,resulting
7470,leaving
7471,gone
7472,downhill
7473,ticket
7474,linked
7475,speaking
7476,confirmed
7477,accomplishing
7478,look
7479,frustrating
7480,ticketing
7481,departed
7482,connecting
7483,arrived
7484,changed
7485,notifying
7486,found
7487,trying
7488,go
7489,said
7490,go
7491,find
7492,explained
7493,rebooked
7494,took
7495,go
7496,frustrated
7497,seems
7498,took
7499,cdg
7500,boarded
7501,insisted
7502,packing
7503,standing
7504,telling
7505,leaving
7506,bus
7507,packed
7508,distancing
7509,followed
7510,boarding
7511,serves
7512,seem
7513,protocols
7514,disciplined
7515,try
7516,prevails
7517,refused
7518,told
7519,come
7520,inexperienced
7521,taking
7522,check
7523,scanned
7524,delayed
7525,crew
7526,stuck
7527,fault
7528,found
7529,boarding
7530,went
7531,club
7532,blocked
7533,struggle
7534,failed
7535,go
7536,get
7537,served
7538,landing
7539,disembarking
7540,went
7541,included
7542,arrived
7543,opened
7544,check
7545,waiting
7546,took
7547,paperwork
7548,slowing
7549,passing
7550,serve
7551,cold
7552,boarding
7553,done
7554,parked
7555,club
7556,seating
7557,expect
7558,knee
7559,drink
7560,served
7561,go
7562,slow
7563,check
7564,boarding
7565,row
7566,seemed
7567,landed
7568,waited
7569,waited
7570,leave
7571,struggle
7572,skimping
7573,crew
7574,queuing
7575,told
7576,booked
7577,seated
7578,told
7579,run
7580,pie
7581,blame
7582,get
7583,boarding
7584,seated
7585,row
7586,declined
7587,london
7588,returned
7589,leg
7590,hope
7591,make
7592,get
7593,prebook
7594,extortionate
7595,pre
7596,booking
7597,booking
7598,classes
7599,tacked
7600,seating
7601,recommend
7602,ba
7603,trying
7604,standing
7605,boarding
7606,allow
7607,obtain
7608,said
7609,overbooked
7610,got
7611,used
7612,delayed
7613,getting
7614,advanced
7615,performed
7616,wait
7617,paid
7618,absolute
7619,trying
7620,flying
7621,tried
7622,waited
7623,told
7624,tried
7625,calling
7626,drops
7627,booking
7628,picks
7629,put
7630,excuse
7631,deserve
7632,ive
7633,flying
7634,dont
7635,sickening
7636,shambles
7637,stating
7638,wanted
7639,allow
7640,marred
7641,london
7642,received
7643,spent
7644,happened
7645,showed
7646,airfield
7647,riddled
7648,complained
7649,delays
7650,arriving
7651,exhausted
7652,needing
7653,started
7654,know
7655,mismanaged
7656,wait
7657,check
7658,came
7659,boarding
7660,mins
7661,thought
7662,reaching
7663,scanned
7664,including
7665,boarding
7666,keep
7667,expect
7668,dreading
7669,considering
7670,reply
7671,called
7672,live
7673,wanted
7674,booked
7675,wanted
7676,’
7677,told
7678,done
7679,’
7680,going
7681,making
7682,change
7683,’
7684,saying
7685,anyways
7686,started
7687,raising
7688,’
7689,making
7690,gave
7691,said
7692,help
7693,’
7694,got
7695,cut
7696,got
7697,say
7698,flying
7699,say
7700,arrived
7701,getting
7702,makes
7703,cut
7704,shared
7705,left
7706,made
7707,offered
7708,kept
7709,going
7710,paid
7711,club
7712,think
7713,checking
7714,found
7715,denied
7716,boarding
7717,causing
7718,spent
7719,requested
7720,came
7721,spent
7722,arranging
7723,uploading
7724,verifying
7725,tracking
7726,boarding
7727,asked
7728,europe
7729,ba
7730,reflection
7731,boarding
7732,gifted
7733,bussed
7734,used
7735,boarded
7736,caused
7737,waiting
7738,taking
7739,seat
7740,pleasant
7741,fan
7742,cramped
7743,seating
7744,tiny
7745,seems
7746,going
7747,seems
7748,done
7749,offers
7750,priced
7751,returning
7752,allowed
7753,felt
7754,agree
7755,served
7756,testing
7757,needed
7758,happened
7759,appear
7760,gone
7761,make
7762,queue
7763,check
7764,adding
7765,making
7766,’
7767,check
7768,crew
7769,disintegrated
7770,attitude
7771,loyal
7772,disgrace
7773,insisted
7774,accumulated
7775,cost
7776,supported
7777,shocking
7778,’
7779,booked
7780,taking
7781,wasting
7782,planning
7783,cancelled
7784,forcing
7785,pay
7786,airlines
7787,cancelled
7788,flying
7789,forcing
7790,fly
7791,stuck
7792,offered
7793,noticed
7794,going
7795,tried
7796,closed
7797,assumed
7798,straightforward
7799,extend
7800,dealing
7801,cancelled
7802,going
7803,speaking
7804,live
7805,got
7806,told
7807,extend
7808,going
7809,using
7810,cancelled
7811,managing
7812,bands
7813,knowing
7814,rebuilding
7815,ridiculed
7816,make
7817,returned
7818,felt
7819,compelled
7820,delight
7821,impressed
7822,crew
7823,expect
7824,go
7825,wait
7826,seated
7827,begin
7828,using
7829,get
7830,push
7831,requested
7832,started
7833,served
7834,loght
7835,happened
7836,get
7837,go
7838,return
7839,booked
7840,paid
7841,got
7842,rows
7843,added
7844,’
7845,recline
7846,rows
7847,misselling
7848,known
7849,paying
7850,booked
7851,complained
7852,resented
7853,made
7854,fobbed
7855,running
7856,know
7857,get
7858,booked
7859,go
7860,go
7861,closed
7862,given
7863,told
7864,take
7865,travel
7866,refuse
7867,booked
7868,go
7869,paid
7870,wonder
7871,go
7872,wonder
7873,’
7874,facing
7875,etc
7876,return
7877,regarding
7878,contradicting
7879,took
7880,check
7881,resulting
7882,expecting
7883,seating
7884,crisps
7885,handed
7886,disembarking
7887,let
7888,decided
7889,taxing
7890,crew
7891,seats
7892,aspire
7893,boarding
7894,stretched
7895,struggled
7896,efficient
7897,adequate
7898,charged
7899,disembarking
7900,egates
7901,booked
7902,check
7903,informed
7904,booked
7905,name
7906,mistake
7907,offered
7908,get
7909,changed
7910,name
7911,refused
7912,sent
7913,spoke
7914,promised
7915,email
7916,get
7917,fly
7918,refunds
7919,received
7920,chased
7921,said
7922,sent
7923,spoke
7924,say
7925,sent
7926,explaining
7927,happened
7928,asking
7929,promised
7930,emailsmessages
7931,said
7932,spoke
7933,take
7934,remember
7935,ba
7936,alternative
7937,booked
7938,paid
7939,didnt
7940,onboard
7941,delayed
7942,departing
7943,prepare
7944,delayed
7945,abandoned
7946,crew
7947,speak
7948,apologise
7949,tannoy
7950,received
7951,fell
7952,offer
7953,compensate
7954,impressed
7955,advising
7956,challenged
7957,rebuked
7958,knew
7959,departing
7960,offered
7961,given
7962,relaxed
7963,cancelled
7964,missed
7965,connecting
7966,scheduled
7967,rude
7968,get
7969,scheduled
7970,booked
7971,pay
7972,get
7973,registered
7974,performing
7975,performed
7976,appears
7977,got
7978,diverted
7979,lacked
7980,asked
7981,treat
7982,said
7983,crew
7984,giving
7985,row
7986,asked
7987,said
7988,run
7989,choose
7990,got
7991,impacting
7992,needed
7993,diverted
7994,got
7995,stating
7996,said
7997,run
7998,diverted
7999,got
8000,service
8001,asked
8002,said
8003,said
8004,yesasked
8005,wanted
8006,brought
8007,spoon
8008,pushed
8009,came
8010,drink
8011,fly
8012,lounge
8013,seemed
8014,seemed
8015,gave
8016,expanded
8017,stretching
8018,sequed
8019,remains
8020,horrified
8021,worst
8022,tasted
8023,£499
8024,passport
8025,left
8026,taken
8027,allow
8028,demanding
8029,served
8030,crew
8031,check
8032,experienced
8033,strolled
8034,left
8035,standing
8036,cancelled
8037,provided
8038,bought
8039,june
8040,paulo
8041,round
8042,cancelled
8043,contacted
8044,refund
8045,paid
8046,allocated
8047,booked
8048,want
8049,forced
8050,shun
8051,look
8052,think
8053,means
8054,purchased
8055,traveled
8056,return
8057,took
8058,learned
8059,tested
8060,provide
8061,recorded
8062,drones
8063,says
8064,leave
8065,thought
8066,bought
8067,let
8068,reschedule
8069,called
8070,called
8071,get
8072,accurate
8073,learned
8074,calling
8075,get
8076,told
8077,get
8078,counts
8079,dont
8080,answering
8081,web
8082,misbooked
8083,offered
8084,note
8085,saying
8086,give
8087,arrived
8088,allowed
8089,kept
8090,given
8091,causing
8092,lost
8093,connecting
8094,offered
8095,connecting
8096,booked
8097,made
8098,turning
8099,think
8100,shows
8101,lack
8102,lack
8103,promised
8104,paid
8105,ba
8106,becoming
8107,ba
8108,notified
8109,bumped
8110,covid
8111,kept
8112,asking
8113,check
8114,transit
8115,said
8116,show
8117,told
8118,needed
8119,go
8120,charged
8121,gotten
8122,done
8123,known
8124,served
8125,cheese
8126,requested
8127,dairy
8128,ba
8129,damaged
8130,told
8131,airport
8132,needed
8133,trying
8134,resolve
8135,asking
8136,giving
8137,run
8138,used
8139,go
8140,seems
8141,gone
8142,get
8143,cancelled
8144,offered
8145,amend
8146,online
8147,find
8148,sitting
8149,speak
8150,cancelled
8151,need
8152,answer
8153,calls
8154,stunned
8155,working
8156,freezing
8157,wanted
8158,worked
8159,crew
8160,headphones
8161,provided
8162,flying
8163,expected
8164,got
8165,think
8166,get
8167,rare
8168,loved
8169,tend
8170,sleeping
8171,noticed
8172,falling
8173,carry
8174,weighing
8175,smiley
8176,given
8177,paid
8178,considering
8179,extra
8180,end
8181,evening
8182,fine
8183,left
8184,ordered
8185,given
8186,came
8187,landed
8188,sleeping
8189,asked
8190,said
8191,going
8192,grabbed
8193,sleeping
8194,walked
8195,went
8196,met
8197,left
8198,landed
8199,holding
8200,met
8201,representative
8202,met
8203,explained
8204,said
8205,go
8206,wait
8207,disappointed
8208,see
8209,piled
8210,left
8211,confronted
8212,learning
8213,came
8214,helped
8215,shame
8216,signed
8217,looks
8218,failing
8219,verifly
8220,seem
8221,want
8222,see
8223,wasted
8224,made
8225,booked
8226,roof
8227,give
8228,refund
8229,flying
8230,arrange
8231,wanted
8232,booked
8233,booked
8234,confirmed
8235,received
8236,telling
8237,cancelled
8238,moved
8239,departed
8240,arrived
8241,thought
8242,flashed
8243,get
8244,needs
8245,confusing
8246,website
8247,confusing
8248,filled
8249,etc
8250,granted
8251,took
8252,evening
8253,booked
8254,booked
8255,booked
8256,amended
8257,granted
8258,booked
8259,go
8260,travel
8261,decided
8262,say
8263,complained
8264,given
8265,disrupting
8266,looked
8267,info
8268,flying
8269,preceding
8270,rang
8271,got
8272,booked
8273,knows
8274,lost
8275,spent
8276,spent
8277,booking
8278,given
8279,seem
8280,ruining
8281,lost
8282,decided
8283,boarding
8284,given
8285,take
8286,relaxed
8287,change
8288,experienced
8289,organised
8290,gave
8291,managed
8292,tagged
8293,reflect
8294,lgw
8295,crew
8296,welcoming
8297,given
8298,pack
8299,looks
8300,removed
8301,getting
8302,wait
8303,cancelled
8304,giving
8305,bearing
8306,work
8307,booked
8308,parking
8309,rebooked
8310,suggested
8311,cancelled
8312,rebooked
8313,told
8314,working
8315,passed
8316,called
8317,processing
8318,issued
8319,give
8320,cancelled
8321,london
8322,changes
8323,contacted
8324,asking
8325,asked
8326,prolonged
8327,denied
8328,empathy
8329,ignored
8330,provide
8331,chose
8332,trusting
8333,traveling
8334,connecting
8335,reserved
8336,booking
8337,changed
8338,got
8339,boarding
8340,assigned
8341,called
8342,couldnt
8343,gave
8344,needed
8345,seats
8346,didnt
8347,seat
8348,appalling
8349,sneaky
8350,charges
8351,saved
8352,waited
8353,checkin
8354,bas
8355,derided
8356,cramped
8357,length
8358,came
8359,offered
8360,selected
8361,told
8362,bed
8363,raid
8364,stay
8365,seen
8366,fits
8367,route
8368,used
8369,pay
8370,got
8371,using
8372,opened
8373,checkin
8374,seemed
8375,scrutinised
8376,passenger
8377,thanks
8378,club
8379,took
8380,dreading
8381,queuing
8382,egates
8383,collecting
8384,landing
8385,say
8386,missing
8387,closures
8388,helped
8389,secure
8390,grounded
8391,felt
8392,heading
8393,checkin
8394,south
8395,boy
8396,ordering
8397,seems
8398,continuing
8399,replenished
8400,seemed
8401,landing
8402,check
8403,passenger
8404,reassuring
8405,coming
8406,cancelled
8407,promised
8408,calls
8409,waiting
8410,conclusion
8411,going
8412,avoid
8413,issuing
8414,keeping
8415,keep
8416,challenging
8417,see
8418,introduced
8419,boarding
8420,disembarking
8421,boarded
8422,backside
8423,minimizing
8424,jamming
8425,disembarking
8426,asked
8427,called
8428,supporting
8429,improved
8430,boarding
8431,distributed
8432,overlooked
8433,highlighted
8434,get
8435,surprised
8436,fixed
8437,appreciated
8438,taken
8439,left
8440,robust
8441,need
8442,armed
8443,allocated
8444,causing
8445,expect
8446,offered
8447,arrived
8448,cancelled
8449,crammed
8450,cancelled
8451,opted
8452,rebook
8453,informed
8454,requesting
8455,need
8456,call
8457,rebook
8458,cancelled
8459,offered
8460,rebook
8461,inconvenienced
8462,appalling
8463,lowered
8464,dismay
8465,flying
8466,bothered
8467,cancelled
8468,helping
8469,booked
8470,mentioned
8471,changed
8472,learned
8473,fly
8474,airport
8475,went
8476,said
8477,flying
8478,didnt
8479,booked
8480,india
8481,come
8482,fly
8483,gave
8484,dont
8485,means
8486,gone
8487,talking
8488,put
8489,onetravel
8490,trying
8491,going
8492,return
8493,gave
8494,didnt
8495,take
8496,cancelled
8497,ba
8498,promised
8499,stay
8500,done
8501,asked
8502,link
8503,provided
8504,claimed
8505,asked
8506,replied
8507,applying
8508,find
8509,recommend
8510,travelled
8511,assisted
8512,crew
8513,amazing
8514,made
8515,come
8516,traveling
8517,took
8518,made
8519,stood
8520,travelling
8521,say
8522,paid
8523,mexico
8524,working
8525,got
8526,come
8527,offered
8528,commented
8529,chocolate
8530,wear
8531,convert
8532,looked
8533,expect
8534,left
8535,contacted
8536,found
8537,outsourced
8538,lost
8539,found
8540,washed
8541,helping
8542,given
8543,told
8544,left
8545,assume
8546,cleaning
8547,decided
8548,dont
8549,go
8550,dont
8551,make
8552,booked
8553,advance
8554,says
8555,ring
8556,say
8557,box
8558,refer
8559,use
8560,received
8561,provided
8562,packed
8563,sitting
8564,return
8565,cancelled
8566,transfer
8567,hoping
8568,liked
8569,boarding
8570,disembarking
8571,brought
8572,made
8573,marked
8574,expected
8575,know
8576,entered
8577,joked
8578,obliged
8579,bring
8580,realized
8581,going
8582,bringing
8583,crew
8584,supposed
8585,closed
8586,canceled
8587,get
8588,tried
8589,occurred
8590,came
8591,tried
8592,fly
8593,declined
8594,went
8595,starting
8596,testing
8597,requires
8598,connected
8599,want
8600,help
8601,want
8602,point
8603,works
8604,testing
8605,heathrow
8606,carrying
8607,went
8608,’
8609,go
8610,provided
8611,called
8612,arranged
8613,booking
8614,come
8615,got
8616,came
8617,cairo
8618,became
8619,complicated
8620,brilliant
8621,ba
8622,offered
8623,showed
8624,met
8625,ba
8626,followed
8627,offered
8628,tried
8629,get
8630,asked
8631,know
8632,shared
8633,colleague
8634,came
8635,offered
8636,stay
8637,gave
8638,offered
8639,conclude
8640,want
8641,help
8642,know
8643,’
8644,met
8645,know
8646,ba
8647,want
8648,hiring
8649,providing
8650,upholding
8651,help
8652,provided
8653,seem
8654,needed
8655,london
8656,sat
8657,nose
8658,coming
8659,seemed
8660,made
8661,beginning
8662,crew
8663,beginning
8664,seemed
8665,leaving
8666,taken
8667,challenged
8668,said
8669,see
8670,flying
8671,reduced
8672,wearing
8673,enforced
8674,ba
8675,handled
8676,went
8677,check
8678,south
8679,seemed
8680,followed
8681,presented
8682,worked
8683,run
8684,packed
8685,use
8686,travelling
8687,bottle
8688,give
8689,meal
8690,treated
8691,give
8692,say
8693,provided
8694,given
8695,challenging
8696,regarding
8697,talked
8698,tried
8699,updated
8700,listened
8701,changing
8702,refunded
8703,cancelled
8704,return
8705,shown
8706,needed
8707,bit
8708,given
8709,sipping
8710,tea
8711,improve
8712,given
8713,outdated
8714,heathrow
8715,boarding
8716,know
8717,italy
8718,asked
8719,expect
8720,fine
8721,travelled
8722,spend
8723,cheaper
8724,received
8725,refunded
8726,munichlondon
8727,working
8728,lufthansa
8729,summed
8730,done
8731,boarding
8732,check
8733,desk
8734,preordered
8735,amazing
8736,decided
8737,turned
8738,working
8739,made
8740,delivered
8741,’
8742,let
8743,efficient
8744,warsaw
8745,organised
8746,boarding
8747,club
8748,’
8749,amazing
8750,including
8751,expected
8752,fulfilled
8753,handling
8754,waited
8755,delivered
8756,lhr
8757,arrived
8758,closed
8759,took
8760,arrived
8761,closed
8762,offer
8763,booked
8764,telling
8765,reach
8766,reimbursed
8767,received
8768,telling
8769,get
8770,paris
8771,missed
8772,arrived
8773,missed
8774,overnight
8775,applied
8776,refused
8777,determining
8778,arrived
8779,acknowledged
8780,pointed
8781,ignored
8782,filed
8783,sent
8784,traveled
8785,rebooked
8786,refused
8787,paid
8788,rebooked
8789,overnight
8790,shocking
8791,lie
8792,know
8793,london
8794,applied
8795,wearing
8796,mouth
8797,snack
8798,seems
8799,allow
8800,worn
8801,given
8802,makes
8803,provided
8804,say
8805,upgrade
8806,seem
8807,make
8808,appeared
8809,surprised
8810,crisps
8811,handed
8812,deplaning
8813,working
8814,bought
8815,singapore
8816,reside
8817,wave
8818,asia
8819,done
8820,london
8821,got
8822,got
8823,apply
8824,got
8825,cancelled
8826,told
8827,done
8828,tried
8829,redeem
8830,redeem
8831,redeem
8832,think
8833,put
8834,canceled
8835,refunded
8836,reached
8837,trying
8838,worked
8839,ignoring
8840,asking
8841,avoid
8842,keep
8843,keeping
8844,made
8845,exchanging
8846,ba
8847,failed
8848,tried
8849,using
8850,booked
8851,using
8852,speak
8853,tried
8854,chased
8855,showed
8856,booked
8857,denied
8858,refused
8859,give
8860,started
8861,booked
8862,wanted
8863,ba
8864,called
8865,told
8866,appeared
8867,get
8868,go
8869,mark
8870,cancelled
8871,obtain
8872,made
8873,opted
8874,obtained
8875,tried
8876,informed
8877,reduced
8878,called
8879,told
8880,call
8881,received
8882,called
8883,honouring
8884,trying
8885,keep
8886,appalling
8887,london
8888,think
8889,flying
8890,get
8891,got
8892,end
8893,appreciated
8894,choose
8895,issued
8896,profit
8897,booked
8898,rome
8899,booked
8900,paid
8901,ba
8902,paying
8903,england
8904,allowed
8905,allowed
8906,england
8907,processed
8908,need
8909,mailed
8910,airbbs
8911,obtain
8912,’
8913,tried
8914,reach
8915,got
8916,asked
8917,obtain
8918,paid
8919,told
8920,paid
8921,refunds
8922,allowed
8923,understanding
8924,make
8925,told
8926,booked
8927,get
8928,prepared
8929,use
8930,suffering
8931,supposed
8932,lose
8933,paid
8934,valued
8935,traveling
8936,refusing
8937,gives
8938,booked
8939,iberia
8940,needed
8941,began
8942,given
8943,left
8944,travel
8945,began
8946,refunded
8947,quarantined
8948,europe
8949,faced
8950,return
8951,cancel
8952,traveled
8953,enforced
8954,received
8955,matter
8956,booked
8957,booked
8958,sent
8959,accepted
8960,fly
8961,hit
8962,offered
8963,took
8964,get
8965,deducted
8966,calls
8967,result
8968,made
8969,booked
8970,needed
8971,paid
8972,ensure
8973,received
8974,matter
8975,asked
8976,expected
8977,answer
8978,withholding
8979,cancelling
8980,issued
8981,called
8982,said
8983,get
8984,ordered
8985,cancelled
8986,sandwich
8987,given
8988,running
8989,paid
8990,beginning
8991,appalling
8992,made
8993,attitude
8994,delayed
8995,misconnected
8996,arrived
8997,requested
8998,refused
8999,told
9000,delayed
9001,continued
9002,arrived
9003,started
9004,writing
9005,make
9006,know
9007,greed
9008,persisting
9009,used
9010,ba
9011,get
9012,excited
9013,lived
9014,amazing
9015,aircraft
9016,lighting
9017,moving
9018,opted
9019,enjoyed
9020,crew
9021,used
9022,ba
9023,get
9024,coronavirus
9025,belonging
9026,limited
9027,expected
9028,boarding
9029,crew
9030,flew
9031,brought
9032,looking
9033,tired
9034,slept
9035,caused
9036,sydney
9037,deciding
9038,booked
9039,booking
9040,closed
9041,get
9042,advised
9043,cancelled
9044,assured
9045,ring
9046,cancelled
9047,tell
9048,putting
9049,came
9050,went
9051,received
9052,tried
9053,ringing
9054,going
9055,hold
9056,answered
9057,decided
9058,left
9059,want
9060,australia
9061,received
9062,email
9063,tell
9064,felt
9065,got
9066,raised
9067,told
9068,supposed
9069,get
9070,advised
9071,said
9072,sort
9073,put
9074,say
9075,given
9076,raised
9077,advised
9078,told
9079,needed
9080,done
9081,said
9082,know
9083,advised
9084,said
9085,told
9086,go
9087,wanted
9088,use
9089,means
9090,’
9091,stay
9092,go
9093,accepted
9094,waste
9095,belonging
9096,want
9097,trying
9098,make
9099,rebooking
9100,redeem
9101,cancelled
9102,speaking
9103,means
9104,hanging
9105,try
9106,card
9107,bas
9108,avoiding
9109,warsaw
9110,stands
9111,starting
9112,ending
9113,deplaning
9114,smiling
9115,including
9116,gave
9117,missed
9118,entered
9119,assured
9120,organised
9121,boarding
9122,paid
9123,think
9124,nice
9125,closed
9126,went
9127,scheduled
9128,planned
9129,managed
9130,get
9131,forgot
9132,leave
9133,realised
9134,passed
9135,allowed
9136,go
9137,gave
9138,calling
9139,using
9140,find
9141,ba
9142,place
9143,find
9144,left
9145,cleaning
9146,find
9147,find
9148,bearing
9149,left
9150,learned
9151,told
9152,allowing
9153,confirmed
9154,offered
9155,declined
9156,saying
9157,spent
9158,trying
9159,get
9160,calls
9161,ba
9162,compared
9163,provide
9164,worst
9165,sort
9166,booked
9167,trying
9168,filled
9169,managed
9170,spoke
9171,directed
9172,gave
9173,directed
9174,called
9175,waiting
9176,spoke
9177,asked
9178,said
9179,call
9180,speak
9181,thought
9182,lies
9183,lack
9184,cancelled
9185,done
9186,lied
9187,claimed
9188,rebook
9189,showed
9190,scheduled
9191,claimed
9192,booking
9193,disappeared
9194,claimed
9195,gave
9196,getting
9197,make
9198,issued
9199,ba
9200,accepting
9201,boarding
9202,saw
9203,given
9204,boarding
9205,got
9206,stopped
9207,flying
9208,comes
9209,managed
9210,securing
9211,telling
9212,going
9213,running
9214,stepping
9215,go
9216,ba
9217,see
9218,arrival
9219,passed
9220,needed
9221,tried
9222,booking
9223,bought
9224,included
9225,said
9226,spent
9227,hanging
9228,trying
9229,listed
9230,facebook
9231,went
