,Verbs
622,planned
623,leaving
624,travelling
625,overnight
626,checked
627,found
628,cancelled
629,connecting
630,booked
631,following
632,make
633,got
634,work
635,made
636,requesting
637,managed
638,find
639,got
640,booked
641,called
642,wanted
643,advised
644,requested
645,used
646,abandoned
647,prepared
648,called
649,made
650,explain
651,want
652,proceed
653,followed
654,refused
655,used
656,used
657,cover
658,happened
659,ended
660,checked
661,get
662,booked
663,closed
664,arrived
665,ended
666,booking
667,place
668,didnt
669,put
670,ba
671,ended
672,compared
673,trying
674,requested
675,calling
676,say
677,done
678,know
679,scrambling
680,find
681,pointed
682,call
683,happens
684,encounter
685,put
686,make
687,mistake
688,save
689,didnt
690,said
691,im
692,friends
693,gone
694,given
695,make
696,used
697,gone
698,used
699,remaining
700,travel
701,fly
702,heading
703,joking
704,heading
705,lost
706,see
707,disaster
708,rude
709,seems
710,entitled
711,raised
712,became
713,going
714,wanted
715,took
716,online
717,spend
718,call
719,provide
720,weekends
721,standing
722,knowing
723,going
724,told
725,wait
726,told
727,leave
728,told
729,cancelled
730,check
731,wait
732,take
733,delayed
734,provided
735,offered
736,paid
737,refunded
738,given
739,prepurchased
740,notified
741,rebooked
742,connecting
743,arrived
744,cancelled
745,rebooking
746,rebooked
747,making
748,rerouted
749,accepted
750,allows
751,transfer
752,let
753,enduring
754,chatted
755,disconnected
756,online
757,proves
758,happen
759,started
760,working
761,studying
762,purchased
763,travel
764,frankfurt
765,entered
766,know
767,cost
768,arriving
769,told
770,change
771,remaining
772,wanted
773,shown
774,offered
775,trusting
776,bought
777,purchased
778,contacted
779,booking
780,informed
781,apologised
782,told
783,changed
784,offered
785,advising
786,told
787,wanted
788,asked
789,accepting
790,denied
791,claiming
792,said
793,claim
794,accepted
795,lodged
796,informed
797,accepted
798,continued
799,stopped
800,responding
801,misled
802,accepting
803,offer
804,keeps
805,thinking
806,get
807,arriving
808,sceens
809,updated
810,requested
811,take
812,help
813,reduce
814,announced
815,returned
816,get
817,resolved
818,announced
819,delay
820,wait
821,rushing
822,sat
823,takes
824,bas
825,uses
826,require
827,embarrassing
828,hearing
829,check
830,avoided
831,chocolate
832,seems
833,bought
834,lukewarm
835,explained
836,supposed
837,understand
838,classified
839,cabin
840,attentive
841,getting
842,used
843,making
844,bring
845,dehydrated
846,faced
847,made
848,tempted
849,overpriced
850,bored
851,representing
852,spoke
853,avoided
854,focussed
855,crowded
856,cramped
857,took
858,crew
859,appeared
860,consists
861,mentioned
862,prompted
863,say
864,etc
865,exist
866,including
867,seen
868,says
869,said
870,delayed
871,delayed
872,leaving
873,called
874,saying
875,told
876,note
877,go
878,got
879,told
880,help
881,told
882,rebooked
883,told
884,found
885,left
886,delayed
887,paid
888,told
889,wait
890,responded
891,help
892,’
893,gets
894,champagne
895,better
896,wait
897,developed
898,taxiing
899,returned
900,cancelled
901,captain
902,cancelled
903,provided
904,involving
905,made
906,managed
907,get
908,ba
909,caused
910,reimbursed
911,took
912,pays
913,get
914,says
915,bothered
916,given
917,pay
918,suggest
919,take
920,earned
921,least
922,recommended
923,used
924,fell
925,offer
926,stick
927,flown
928,fly
929,know
930,used
931,fly
932,deteriorated
933,look
934,working
935,landed
936,reset
937,done
938,oozed
939,seem
940,gave
941,asked
942,told
943,like
944,choose
945,told
946,get
947,’
948,choosing
949,getting
950,take
951,stated
952,medium
953,flying
954,get
955,checking
956,use
957,flying
958,care
959,wait
960,serviced
961,told
962,bags
963,check
964,arrived
965,fit
966,leave
967,boarding
968,fly
969,booked
970,paid
971,trying
972,told
973,exist
974,showed
975,booked
976,paid
977,denied
978,communicated
979,ba
980,returned
981,admitted
982,received
983,decided
984,asked
985,received
986,informing
987,checked
988,go
989,return
990,lost
991,retrieve
992,tracked
993,picked
994,treating
995,respect
996,pay
997,compelled
998,ba059
999,allocated
1000,middle
1001,getting
1002,stretch
1003,go
1004,mean
1005,climbing
1006,got
1007,tried
1008,checkin
1009,tried
1010,said
1011,failed
1012,tiny
1013,touching
1014,front
1015,suffered
1016,trying
1017,reclined
1018,evening
1019,spicy
1020,flying
1021,heathrow
1022,arrived
1023,cancelled
1024,galling
1025,finding
1026,managed
1027,stansted
1028,wasting
1029,notify
1030,shocking
1031,cancelled
1032,rebooking
1033,call
1034,kept
1035,dropping
1036,find
1037,booking
1038,fly
1039,paying
1040,delayed
1041,given
1042,boarding
1043,tight
1044,feel
1045,crammed
1046,recline
1047,face
1048,owing
1049,spaced
1050,clean
1051,arrived
1052,pleasant
1053,bussed
1054,seems
1055,use
1056,came
1057,took
1058,connecting
1059,london
1060,waiting
1061,didnt
1062,connecting
1063,glasgow
1064,got
1065,delayed
1066,resulted
1067,connecting
1068,contacted
1069,make
1070,kef
1071,airport
1072,tried
1073,made
1074,made
1075,etc
1076,booking
1077,suggested
1078,responded
1079,paid
1080,refund
1081,took
1082,follow
1083,promised
1084,get
1085,refund
1086,call
1087,found
1088,processed
1089,canceled
1090,annoying
1091,understanding
1092,calls
1093,refunded
1094,make
1095,get
1096,remaining
1097,refunded
1098,crammed
1099,pressed
1100,checked
1101,drink
1102,used
1103,preferred
1104,fly
1105,less
1106,half
1107,makes
1108,ended
1109,extra
1110,started
1111,helpline
1112,spend
1113,dont
1114,want
1115,minimal
1116,provide
1117,make
1118,heathrow
1119,served
1120,live
1121,abandoned
1122,ba
1123,know
1124,used
1125,flying
1126,flying
1127,travelling
1128,iberia
1129,arrived
1130,attempting
1131,sought
1132,informed
1133,make
1134,arrived
1135,lock
1136,forced
1137,searched
1138,emptied
1139,threw
1140,clothing
1141,violated
1142,treated
1143,stated
1144,mistagged
1145,arrived
1146,planned
1147,mistagged
1148,sent
1149,sitting
1150,saying
1151,filed
1152,made
1153,hung
1154,ba
1155,refuse
1156,lost
1157,gave
1158,get
1159,delivered
1160,left
1161,go
1162,told
1163,’
1164,calling
1165,begging
1166,get
1167,fixing
1168,hotel
1169,get
1170,tried
1171,called
1172,got
1173,saying
1174,answering
1175,calls
1176,“
1177,call
1178,booked
1179,delayed
1180,diverted
1181,experienced
1182,landed
1183,taken
1184,stayed
1185,arranged
1186,evening
1187,flew
1188,confirming
1189,remaining
1190,spoke
1191,ba
1192,trying
1193,obtain
1194,met
1195,excuses
1196,discovered
1197,”
1198,return
1199,return
1200,booking
1201,calls
1202,returned
1203,spent
1204,hold
1205,made
1206,received
1207,told
1208,ticketing
1209,speak
1210,filed
1211,received
1212,explaining
1213,reviewed
1214,“
1215,accommodated
1216,issue
1217,noshowed
1218,asked
1219,asked
1220,receive
1221,refunded
1222,flying
1223,boarding
1224,provided
1225,wine
1226,looking
1227,buy
1228,crisps
1229,expect
1230,helping
1231,prebooking
1232,covering
1233,ibiza
1234,followed
1235,freeflowing
1236,worked
1237,recommend
1238,flew
1239,blocked
1240,yoghurt
1241,cabin
1242,paid
1243,seat
1244,communication
1245,cramped
1246,overpriced
1247,fly
1248,departing
1249,estimated
1250,heading
1251,warn
1252,ba
1253,become
1254,get
1255,organized
1256,travelled
1257,return
1258,departed
1259,return
1260,landed
1261,offloaded
1262,ruined
1263,caught
1264,fas
1265,seating
1266,left
1267,marked
1268,recommend
1269,failed
1270,delayed
1271,phoned
1272,wait
1273,ba
1274,ordered
1275,loaded
1276,compound
1277,complete
1278,heathrow
1279,evening
1280,flew
1281,reading
1282,underwear
1283,seems
1284,expected
1285,told
1286,purchase
1287,like
1288,make
1289,bronze
1290,retired
1291,used
1292,marketing
1293,believe
1294,get
1295,planned
1296,meant
1297,departed
1298,lhr
1299,needed
1300,make
1301,connecting
1302,landed
1303,make
1304,kept
1305,boarding
1306,crew
1307,connecting
1308,hold
1309,make
1310,discovered
1311,bumped
1312,landed
1313,pushed
1314,get
1315,extended
1316,traveling
1317,offers
1318,made
1319,refusing
1320,provide
1321,paid
1322,midnight
1323,paid
1324,make
1325,cramped
1326,looking
1327,connecting
1328,jumping
1329,train
1330,given
1331,paid
1332,known
1333,got
1334,comes
1335,waited
1336,giving
1337,make
1338,told
1339,supposed
1340,get
1341,got
1342,online
1343,working
1344,traveling
1345,arrived
1346,read
1347,go
1348,checked
1349,gave
1350,boarding
1351,headed
1352,realize
1353,gave
1354,duplicated
1355,boarding
1356,got
1357,ran
1358,included
1359,arrived
1360,cancelled
1361,waiting
1362,checked
1363,dark
1364,jet
1365,lagged
1366,lhr
1367,calling
1368,change
1369,want
1370,staying
1371,choosing
1372,thought
1373,take
1374,leaving
1375,say
1376,sorry
1377,screwed
1378,going
1379,want
1380,called
1381,called
1382,kept
1383,calling
1384,accepted
1385,made
1386,accepted
1387,kept
1388,telling
1389,called
1390,put
1391,wanted
1392,said
1393,booked
1394,find
1395,docklands
1396,’
1397,flying
1398,stuff
1399,level
1400,accept
1401,traveled
1402,delayed
1403,connecting
1404,appalling
1405,forced
1406,intend
1407,tried
1408,calling
1409,get
1410,thought
1411,flying
1412,looked
1413,fly
1414,experienced
1415,flown
1416,cramped
1417,reclined
1418,seem
1419,make
1420,upgrade
1421,worked
1422,flying
1423,rows
1424,turned
1425,avoid
1426,providing
1427,disappear
1428,booked
1429,take
1430,gave
1431,connecting
1432,left
1433,causing
1434,connecting
1435,rescheduled
1436,landed
1437,booked
1438,offered
1439,type
1440,sat
